corp_cd,corp_nm,mesu,mesu_price,jusu,rate
9470,삼화전기,206137,5977816150,6613820,0.031167616
348950,제이알글로벌리츠,5138364,26171845990,165600000,0.031028768
375500,DL이앤씨,508144,63595617000,19358738,0.026248818
68290,삼성출판사,205401,11187437150,10000000,0.0205401
1795,대한제당우,12734,402216900,648276,0.019642868
2360,SH에너지화학,2116167,2061030967,111133730,0.019041627
316140,우리금융지주,13192180,1.36363E+11,722267683,0.018264946
72130,유엔젤,237145,1016069185,13195454,0.01797172
79980,휴비스,550121,5360710310,34500000,0.015945536
133820,화인베스틸,441801,1170582785,29550000,0.014950964
10820,퍼스텍,-673263,-1677937130,48061460,-0.014008376
5680,삼영전자,-300761,-3469402650,20000000,-0.01503805
145270,케이탑리츠,-720213,-1364570340,46224127,-0.015580889
2320,한진,-236789,-9773003100,14947628,-0.015841243
23350,한국종합기술,-177783,-1669981990,10950000,-0.01623589
4545,깨끗한나라우,-6343,-298865500,366160,-0.017323028
11000,진원생명과학,-833791,-12165348850,45189008,-0.018451191
12510,더존비즈온,-693145,-61367823300,30280485,-0.022890816
4980,성신양회,-568401,-6110306200,24516073,-0.023184831
225,유유제약1우,-30151,-297883400,1133465,-0.026600733
