name,type,day,now_p,gongmo_p,sicho_p,first_p,code,jangwe_jonga,jabon,jusicsu,akmyen,sigachong
라이프시맨틱스,kosdaq,20210323,15650,12500,25000,17500,347700,21500,4800000000,9776917,500,122211462500
에스케이바이오사이언스(유가),kospi,20210318,136000,65000,130000,169000,302440,170500,38200000000,76500000,500,4972500000000
프레스티지바이오로직스,kosdaq,20210311,14050,12400,12100,14300,334970,13500,21400000000,42851915,500,531363746000
나노씨엠에스,kosdaq,20210309,18200,20000,33000,23950,247660,29750,2100000000,4208920,500,84178400000
뷰노,kosdaq,20210226,27650,21000,32900,32150,338220,38000,1100000000,11129656,100,233722776000
유일에너테크,kosdaq,20210225,21750,16000,32000,34500,340930,37000,5200000000,10590044,500,169440704000
오로스테크놀로지,kosdaq,20210224,48750,21000,42000,54600,322310,48000,4600000000,9309542,500,195500382000
와이더플래닛,kosdaq,20210203,21650,16000,24900,20000,321820,34250,3300000000,6763282,500,108212512000
레인보우로보틱스,kosdaq,20210203,23800,10000,20000,26000,277810,26000,7900000000,15844240,500,158442400000
솔루엠(유가),kospi,20210202,26100,17000,34000,29150,248070,40500,23100000000,46332220,500,787647740000
핑거,kosdaq,20210129,22950,16000,32000,29100,163730,36000,4400000000,8839014,500,141424224000
씨앤투스성진,kosdaq,20210128,23650,32000,31700,28700,352700,48000,4700000000,9464270,500,302856640000
클리노믹스,kosdaq,20201204,13450,13900,18500,19000,352770,20250,1300000000,13205141,100,183551459900
포인트모바일,kosdaq,20201203,51700,15000,30000,30550,318020,37500,600000000,6165000,100,92475000000
피플바이오,kosdaq,20201019,42700,20000,18000,23400,304840,22000,2700000000,5504470,500,110089400000
압타머사이언스,kosdaq,20200916,24150,25000,28850,27750,291650,36000,4400000000,8926126,500,223153150000
이오플로우,kosdaq,20200914,74700,19000,21750,20000,294090,23250,1100000000,11132576,100,211518944000
카카오게임즈,kosdaq,20200910,52100,24000,48000,62400,293490,78500,7300000000,73204731,100,1756913544000
에이프로,kosdaq,20200716,36550,21600,43200,56100,262260,47000,3400000000,6880626,500,148621521600
켄코아에어로스페이스,kosdaq,20200303,13800,10000,11500,10250,274090,10750,5200000000,10508904,500,105089040000
레몬,kosdaq,20200228,9090,7200,8620,10400,294140,11000,17200000000,34500000,500,248400000000
서남,kosdaq,20200220,3180,3100,3900,4750,294630,4000,10100000000,20365160,500,63131996000
피피아이,kosdaq,20191226,5900,7000,11000,9630,062970,600,4600000000,9308185,500,65157295000
천랩,kosdaq,20191226,34700,40000,42950,38500,311690,48000,1600000000,3366048,500,134641920000
브릿지바이오테라퓨틱스,kosdaq,20191220,12700,60000,62400,54300,288330,65000,3100000000,6225058,500,373503480000
메드팩토,kosdaq,20191219,96900,40000,40000,35900,235980,44750,5000000000,10097421,500,403896840000
신테카바이오,kosdaq,20191217,16100,12000,14950,16700,226330,13050,6500000000,13154876,500,157858512000
코리아센터,kosdaq,20191129,8610,18000,23000,22850,290510,22000,2500000000,25454896,100,458188128000
제테마,kosdaq,20191114,19800,21000,20100,22450,216080,25000,4000000000,8129487,500,170719227000
라파스,kosdaq,20191111,27000,20000,19950,18050,214260,23000,4000000000,8191416,500,163828320000
아이티엠반도체,kosdaq,20191107,45500,26000,26750,24700,084850,31750,11400000000,22823026,500,593398676000
캐리소프트,kosdaq,20191029,5530,9000,12100,13850,317530,11050,3100000000,6292590,500,56633310000
올리패스,kosdaq,20190920,15700,20000,30600,24800,244460,28000,6900000000,13875738,500,277514760000
나노브릭,kosdaq,20190819,18100,16000,14400,14800,286750,19000,4500000000,4560103,1000,72961648000
레이,kosdaq,20190808,55200,20000,25150,24750,228670,28500,3300000000,6653267,500,133065340000
세경하이테크,kosdaq,20190730,21300,35000,33250,33350,148150,37500,2800000000,5624000,500,196840000000
플리토,kosdaq,20190717,12950,26000,31600,27800,300080,31500,2500000000,5169811,500,134415086000
세틀뱅크,kosdaq,20190712,31900,55000,49500,51600,234340,59000,4600000000,9267000,500,509685000000
에이에프더블류,kosdaq,20190701,9040,22500,28000,21750,312610,35500,5100000000,10313056,500,232043760000
