corp_cd,corp_nm,first_price,last_price,jusiksu_num
299660,셀리드,40250,93500,9703692
065770,CS,2740,6230,18835150
044180,KD,1120,2500,16525360
048910,대원미디어,22200,45350,12578946
215090,이디티,729,1400,60591698
053290,NE능률,12000,21350,16526307
309930,오하임아이엔티,3180,5620,19747691
109820,진매트릭스,9760,16950,20393640
205470,휴마시스,6760,11650,34223815
310200,애니플러스,1610,2760,28407439
293580,나우IB,10650,17600,9480000
246690,TS인베스트먼트,3259,5310,24670435
289220,자이언트스텝,31600,51400,9427965
021080,에이티넘인베스트,3705,5960,48000000
053160,프리엠스,17650,28300,6000000
039020,이건홀딩스,3570,5480,22584709
020710,시공테크,5900,9020,20047970
095270,웨이브일렉트로,4100,6220,14707614
023460,CNH,2730,4085,37200000
206650,유바이오로직스,20450,30400,34979492
019550,SBI인베스트먼트,1750,2590,162066575
227950,엔투텍,1890,2790,58616478
037400,우리조명,2805,4130,24923346
054410,케이피티유,9380,13700,5060000
300080,플리토,13450,19500,5209811
263720,디앤씨미디어,36950,53000,12275111
038620,위즈코프,1505,2145,40588035
049830,승일,18950,26950,6132112
950130,엑세스바이오,13050,18400,36315527
255220,SG,1900,2675,37133006
039860,나노엔텍,7110,9980,26796327
253840,수젠텍,14650,20450,15294966
297570,알로이스,4965,6920,17329414
092300,현우산업,4395,6080,15474878
066910,손오공,2685,3710,26896161
101390,아이엠,1280,1765,42546444
096530,씨젠,130100,178500,26234020
138070,신진에스엠,5890,8030,8972183
025950,동신건설,42150,57400,8400000
032300,한국파마,37550,50900,10906701
153490,우리이앤엘,1330,1800,49900000
064480,브리지텍,4280,5750,11952500
258790,소프트캠프,3325,4450,24991284
033830,티비씨,1445,1930,100000000
140070,서플러스글로벌,5190,6910,36988000
084650,랩지노믹스,17200,22800,11450097
094840,슈프리마에이치큐,9030,11900,10471840
195990,에이비프로바이오,835,1100,251469584
239890,피엔에이치테크,15000,19750,4516016
203650,드림시큐리티,4300,5620,50605754
053590,한국테크놀로지,1165,1520,123957822
204840,지엘팜텍,1265,1650,47210219
206640,바디텍메드,16950,22050,23486560
006910,보성파워텍,2535,3290,46073059
317850,대모,5130,6650,8324420
033310,엠투엔,14800,19150,22189819
