corp_cd,corp_nm,upjong
060310,3S,기계·장비
054620,APS홀딩스,금융
265520,AP시스템,반도체
211270,AP위성,통신장비
035760,CJ ENM,방송서비스
051500,CJ프레시웨이,유통
058820,CMG제약,제약
023460,CNH,금융
056000,COWON,디지털컨텐츠
065770,CS,통신장비
083660,CSA 코스믹,화학
367340,DB금융스팩8호,금융
367360,DB금융스팩9호,금융
068790,DMS,기계·장비
241520,DSC인베스트먼트,금융
245620,EDGC,기타서비스
037370,EG,유통
079190,EMW,통신장비
050120,ES큐브,유통
130500,GH신소재,섬유·의류
900290,GRT,금융
083450,GST,반도체
028150,GS홈쇼핑,방송서비스
045890,GV,일반전기전자
078150,HB테크놀러지,기계·장비
036640,HRS,화학
335870,IBKS제12호스팩,금융
351340,IBKS제13호스팩,금융
351320,IBKS제14호스팩,금융
373200,IBKS제15호스팩,금융
095340,ISC,반도체
099520,ITX-AI,통신장비
950170,JTC,유통
067290,JW신약,제약
035900,JYP Ent.,오락·문화
024840,KBI메탈,금속
024120,KB오토시스,운송장비·부품
021320,KCC건설,건설
036670,KCI,화학
044180,KD,건설
151860,KG ETS,기타서비스
046440,KG모빌리언스,소프트웨어
035600,KG이니시스,소프트웨어
226360,KH E&T,건설
060720,KH바텍,IT부품
122450,KMH,방송서비스
052900,KMH하이텍,반도체
058400,KNN,방송서비스
114450,KPX생명과학,제약
036030,KTH,유통
060370,KT서브마린,건설
065150,MP그룹,유통
219550,MP한강,유통
160550,NEW,오락·문화
053290,NE능률,출판·매체복제
104200,NHN벅스,디지털컨텐츠
060250,NHN한국사이버결제,소프트웨어
030190,NICE평가정보,기타서비스
078590,OQP,운송장비·부품
178920,PI첨단소재,화학
024940,PN풍년,금속
218410,RFHIC,일반전기전자
327260,RF머트리얼즈,기타제조
091340,S&K폴리텍,IT부품
019550,SBI인베스트먼트,금융
950110,SBI핀테크솔루션즈,출판·매체복제
046140,SBS콘텐츠허브,오락·문화
036120,SCI평가정보,기타서비스
099220,SDN,유통
036540,SFA반도체,반도체
255220,SG,비금속
040610,SG&G,운송장비·부품
049470,SGA,소프트웨어
184230,SGA솔루션즈,소프트웨어
016250,SGC이테크건설,건설
307070,SK4호스팩,금융
337450,SK5호스팩,금융
340350,SK6호스팩,금융
036490,SK머티리얼즈,반도체
048550,SM C&C,방송서비스
063440,SM Life Design,출판·매체복제
950180,SNK,출판·매체복제
289080,SV인베스트먼트,금융
089230,THE E&M,인터넷
161570,THE MIDONG,정보기기
032540,TJ미디어,일반전기전자
048770,TPC,기계·장비
246690,TS인베스트먼트,금융
317240,TS트릴리온,화학
038340,UCI,기타서비스
073570,WI,반도체
052300,W홀딩컴퍼니,운송
057030,YBM넷,기타서비스
040300,YTN,방송서비스
051390,YW,유통
052220,iMBC,디지털컨텐츠
079940,가비아,인터넷
078890,가온미디어,통신장비
192410,감마누,통신장비
036620,감성코퍼레이션,유통
217730,강스템바이오텍,제약
114190,강원,금속
094480,갤럭시아머니트리,소프트웨어
063080,게임빌,디지털컨텐츠
044480,경남바이오파마,화학
039240,경남스틸,금속
053950,경남제약,제약
223310,경남제약헬스케어,소프트웨어
011040,경동제약,제약
024910,경창산업,운송장비·부품
198440,고려시멘트,비금속
049720,고려신용정보,기타서비스
014570,고려제약,제약
348150,고바이오랩,기타서비스
098460,고영,기계·장비
035290,골드앤에스,출판·매체복제
038530,골드퍼시픽,유통
900280,골든센츄리,금융
215000,골프존,소프트웨어
121440,골프존뉴딘홀딩스,유통
014200,광림,운송장비·부품
026910,광진실업,금속
090150,광진윈텍,운송장비·부품
355150,교보10호스팩,금융
331520,교보9호스팩,금융
053270,구영테크,운송장비·부품
066620,국보디자인,건설
043650,국순당,음식료·담배
006050,국영지앤엠,비금속
060480,국일신동,금속
078130,국일제지,종이·목재
307750,국전약품,제약
204020,그리티,섬유·의류
186230,그린플러스,금속
900070,글로벌에스엠,금융
204620,글로벌텍스프리,금융
019660,글로본,유통
053260,금강철강,금속
036190,금화피에스시,건설
049080,기가레인,반도체
035460,기산텔레콤,통신장비
308100,까스텔바작,유통
187790,나노,화학
286750,나노브릭,화학
151910,나노스,IT부품
121600,나노신소재,화학
247660,나노씨엠에스,일반전기전자
039860,나노엔텍,의료·정밀기기
091970,나노캠텍,화학
051490,나라엠앤디,기계·장비
190510,나무가,IT부품
242040,나무기술,출판·매체복제
089600,나스미디어,기타서비스
293580,나우IB,금융
138610,나이벡,제약
130580,나이스디앤비,기타서비스
036800,나이스정보통신,통신서비스
267320,나인테크,IT부품
111710,남화산업,오락·문화
091590,남화토건,건설
168330,내츄럴엔도텍,기타서비스
094860,네오리진,소프트웨어
253590,네오셈,반도체
212560,네오오토,운송장비·부품
095660,네오위즈,디지털컨텐츠
042420,네오위즈홀딩스,디지털컨텐츠
950220,네오이뮨텍(Reg.S),기타서비스
311390,네오크레마,음식료·담배
085910,네오티스,운송장비·부품
092730,네오팜,화학
290660,네오펙트,의료·정밀기기
306620,네온테크,기계·장비
153460,네이블,소프트웨어
007390,네이처셀,제약
033640,네패스,반도체
330860,네패스아크,반도체
089140,넥스턴,비금속
065170,넥스트BT,유통
137940,넥스트아이,의료·정밀기기
